split,track,stem,start_sec,end_sec,rms_dbfs,active_frame_ratio
train,Strand Of Oaks - Spacestation,mixture,0.000,10.000,-26.597,1.000000
train,Strand Of Oaks - Spacestation,vocals,0.000,10.000,-77.892,0.000000
train,Strand Of Oaks - Spacestation,drums,0.000,10.000,-77.623,0.000000
train,Strand Of Oaks - Spacestation,bass,0.000,10.000,-84.053,0.000000
train,Strand Of Oaks - Spacestation,other,0.000,10.000,-26.597,1.000000
train,Strand Of Oaks - Spacestation,mixture,10.000,20.000,-22.068,1.000000
train,Strand Of Oaks - Spacestation,vocals,10.000,20.000,-77.883,0.000000
train,Strand Of Oaks - Spacestation,drums,10.000,20.000,-25.089,0.855000
train,Strand Of Oaks - Spacestation,bass,10.000,20.000,-84.076,0.000000
train,Strand Of Oaks - Spacestation,other,10.000,20.000,-25.090,1.000000
train,Strand Of Oaks - Spacestation,mixture,20.000,30.000,-20.189,1.000000
train,Strand Of Oaks - Spacestation,vocals,20.000,30.000,-25.170,0.610000
train,Strand Of Oaks - Spacestation,drums,20.000,30.000,-24.830,0.955000
train,Strand Of Oaks - Spacestation,bass,20.000,30.000,-84.051,0.000000
train,Strand Of Oaks - Spacestation,other,20.000,30.000,-24.915,1.000000
train,Strand Of Oaks - Spacestation,mixture,30.000,40.000,-20.086,1.000000
train,Strand Of Oaks - Spacestation,vocals,30.000,40.000,-24.221,0.635000
train,Strand Of Oaks - Spacestation,drums,30.000,40.000,-25.005,0.805000
train,Strand Of Oaks - Spacestation,bass,30.000,40.000,-84.052,0.000000
train,Strand Of Oaks - Spacestation,other,30.000,40.000,-25.386,1.000000
train,Strand Of Oaks - Spacestation,mixture,40.000,50.000,-19.718,1.000000
train,Strand Of Oaks - Spacestation,vocals,40.000,50.000,-24.748,0.680000
train,Strand Of Oaks - Spacestation,drums,40.000,50.000,-24.735,0.875000
train,Strand Of Oaks - Spacestation,bass,40.000,50.000,-36.987,0.475000
train,Strand Of Oaks - Spacestation,other,40.000,50.000,-24.343,1.000000
